Name_event;Date_start;Date_end;Location;Description
Openingsconcert;2024-10-27;2024-10-27;Ziggo Dome;Concert met Het Metropole Orkest, ISH Dance Collective, Zo! Gospel Choir en Live in Concert
Tentoonstelling Geboorte van de stad;2024-10-27;;;Stadsarchief opent een grote tentoonstelling, focus op het ontstaan van de stad in de middeleeuwen
Koningsnach en -dag;2025-04-26;2025-04-27;;
Midzomerfestival;2025-06-21;2025-06-21;A10;Feest op de A10, met muziek, sport, theater, dans, en meer
Toekomst Tiendaagse;2025-06-10;2025-06-20;;
Pride Amsterdam;2025-07-26;2025-08-03;;
SAIL 50 jaar;2025-08-20;2025-08-24;;
Feest Van Gogh Museum;2025-09-02;2025-09-02;;Feest in het Museum, ter ere van Jo van Gogh-Borger (schoonzus van Vincent), 100 jaar na haar sterfdag
Amsterdam Marathon 50 jaar;2025-10-19;2025-10-19;;Speciale editie wegens 50 jarige bestaan van de Marathon, samen met 750 jaar van de stad
Amsterdam Dance Event;2025-10-22;2025-10-27;;Dance events overal in de stad gedurende vijf dagen 
Eindfeest;2025-10-27;2025-10-27;;Aansluitend op en samen met het einde van ADE, hele stad PARTY MODE
